zona,llaveper_n16,edad,sexo,cotizando,ahorra,tiene_cuenta,celular_vecinos,prestamo_vecino,migra_ult3,org_caridad,org_comunitaria,org_religiosa,org_iestado,org_etnica,org_culdep,org_educ,org_mamb,org_sindicato,org_agremia,voto_alcaldia,diria_que_eleccion,diria_que_partido,simpatiza,convence,hace_la_paga,violar_ley,justicia_propia,voto_popular,ind_bienestar,desigualdad,paga_soborno,medid3b_molestan,firma_paz,evitar_iva,fuente_amigos,voto_ofrecido,ocupacion1,ocupacion2,ocupacion3,ocupacion4,t_personas,material_pisos,sp_telefono,n_internet,t_cuartos_hogar,n_duchas,n_televisores,n_computadores,n_otros_bienes,familias_accion,red_juntos,ayu_fam_colom,ayu_otra,uay_transporte,seguro_hogar,act_segvida,act_segsal,tienen_creditos,retpag_pub,retpag_efinan,riqueza_pca,transp_cabec,min_cabec,transp_escue,inf_internet,sp_estrato_1,sp_estrato_2,sp_estrato_3,sp_estrato_4,sp_estrato_5,sp_estrato_6,sp_estrato_7,tipo_vivienda_1,tipo_vivienda_2,tipo_vivienda_3,relacion_predio_1,relacion_predio_2,relacion_predio_3,relacion_predio_4,relacion_predio_5,estado_civil_1,estado_civil_2,estado_civil_3,estado_civil_4,estado_civil_5,lugar_ahorra_1,lugar_ahorra_2,lugar_ahorra_3,lugar_ahorra_4,lugar_ahorra_5,ocupacion_1,ocupacion_2,ocupacion_3,ocupacion_4,ocupacion_5,ocupacion_6,ocupacion_7,ocupacion_8,tendencia_pol_1,tendencia_pol_2,tendencia_pol_3,tendencia_pol_4,tendencia_pol_5,nivel_educ_1,nivel_educ_2,nivel_educ_3,nivel_educ_4,religion1_1,religion1_2,religion1_3,religion1_4,religion1_5,religion1_6,religion1_7,religion1_8,religion1_9,tercil2016_1,tercil2016_2,tercil2016_3,tenencia_vivienda_1,tenencia_vivienda_2,tenencia_vivienda_3,tenencia_vivienda_4,tenencia_vivienda_5,RegionLb_1,RegionLb_2,RegionLb_3,RegionLb_4,RegionLb_5,RegionLb_6,RegionLb_7,RegionLb_8,servicio_sanitario_1,servicio_sanitario_2,servicio_sanitario_3,servicio_sanitario_4,servicio_sanitario_5,servicio_sanitario_6
1,111001010101,.88840741,0,0,0,1,,,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,,,0,0,0,1,1,,,,0,1,0,,,,,-.031928781,2,1,1,.52470386,-.35676226,3.2848384,1.1361191,-.31078002,0,0,0,0,,0,,,0,0,0,2.3598461,,,,,0,0,0,1,0,0,0,1,0,0,,,,,,0,0,1,0,0,,,,,,0,0,0,0,1,0,0,0,,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1,111003050104,-1.5036602,0,1,1,1,,,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,,0,,0,1,1,,,0,0,0,0,,,,,1.508858,2,1,1,1.3174042,-.35676226,2.0511715,1.1361191,-.31078002,0,0,0,1,0,1,1,0,1,0,0,1.9078349,,,,,0,0,1,0,0,0,0,0,1,0,,,,,,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1,111003050101,.33025828,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,,,,,0,1,1,,,0,0,0,0,,,,,1.508858,2,1,1,1.3174042,-.35676226,2.0511715,1.1361191,-.31078002,0,0,0,1,0,1,1,0,1,0,0,1.9078349,,,,,0,0,1,0,0,0,0,0,1,0,,,,,,0,0,0,1,0,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1,111004020102,-.70630437,0,0,0,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,,0,1,1,1,,0,0,0,0,0,,,,,-.54552436,2,2,1,-1.0606967,-.35676226,-.41616207,1.1361191,-.31078002,0,0,0,0,,1,0,0,1,1,1,.063195422,,,,,0,0,1,0,0,0,0,0,1,0,,,,,,1,0,0,0,0,,,,,,0,0,0,0,1,0,0,0,,,,,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1,111006010101,-1.5833958,0,0,1,1,,,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,,,,,1,1,1,,0,0,1,0,0,,,,,-.031928781,5,1,1,-1.853397,2.4347644,.81750476,1.1361191,-.31078002,0,0,0,0,,0,,,1,1,0,.52565265,,,,,0,0,1,0,0,0,0,1,0,0,,,,,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1,111009010102,-.86577553,0,0,,0,,,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,,,,,,1,1,,,0,0,1,0,,,,,-.031928781,3,1,1,-.26799643,-.35676226,.81750476,-.58834743,-.31078002,1,0,0,1,0,0,,,1,0,0,-.25715026,,,,,0,0,1,0,0,0,0,0,1,0,,,,,,0,1,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1,111010010101,.17078711,1,0,0,1,1,,0,0,0,0,0,0,1,0,0,0,0,0,1,,0,,,0,,0,1,1,,1,0,0,0,0,,,,,-.54552436,2,1,1,-.26799643,-.35676226,-.41616207,1.1361191,-.31078002,0,0,0,0,,1,0,0,1,0,0,.043373771,,,,,0,0,1,0,0,0,0,0,1,0,,,,,,1,0,0,0,0,,,,,,0,0,0,0,1,0,0,0,,,,,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1,111011010102,.80867183,0,0,1,0,,,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,,,,0,1,1,1,,1,0,0,1,0,,,,,.4816668,2,1,1,.52470386,2.4347644,2.0511715,2.8605857,-.31078002,0,0,0,0,,1,0,0,1,0,0,3.8694735,,,,,0,0,0,1,0,0,0,0,1,0,,,,,,0,1,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1,111014010101,-.86577553,0,0,0,1,,,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,,,1,0,0,1,1,,,0,,0,0,,,,,.99526238,2,2,1,.52470386,-.35676226,2.0511715,1.1361191,-.31078002,0,0,0,0,,0,,,1,1,1,.89686519,,,,,0,0,1,0,0,0,0,0,1,0,,,,,,0,1,0,0,0,,,,,,0,0,0,0,1,0,0,0,,,,,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1,111015010101,-1.1049823,0,1,1,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,1,1,,0,,0,1,0,,,,,.4816668,2,1,1,1.3174042,-.35676226,.81750476,1.1361191,-.31078002,0,0,0,0,0,1,1,0,1,0,0,2.2905757,,,,,0,0,0,1,0,0,0,0,1,0,,,,,,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,,,,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1,111017010101,-2.0618093,0,0,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,1,1,,0,,0,1,0,,,,,-.031928781,2,1,1,-1.853397,-.35676226,-.41616207,-.58834743,-.31078002,0,0,0,0,,1,0,0,0,0,0,-.068795979,,,,,0,0,1,0,0,0,0,1,0,0,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,,,,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1,111019010102,-1.344189,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,1,,0,1,1,0,0,0,1,1,0,,,,,-.031928781,2,1,1,-.26799643,-.35676226,.81750476,1.1361191,-.31078002,0,0,0,0,,0,,,0,0,0,.86912996,,,,,0,0,1,0,0,0,0,0,1,0,,,,,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1,111021010102,.091051519,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,,,,,0,1,1,,0,,0,0,0,,,,,-.031928781,3,2,1,-1.0606967,-.35676226,-.41616207,-.58834743,-.31078002,0,0,0,0,,1,0,0,1,0,0,-1.8966569,,,,,0,0,1,0,0,0,0,1,0,0,,,,,,0,1,0,0,0,,,,,,0,0,1,0,0,0,0,0,,,,,,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1,111100010102,-1.742867,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,,,0,,0,0,1,,1,0,0,1,0,,,,,-.031928781,2,2,1,-.26799643,-.35676226,.81750476,1.1361191,-.31078002,0,0,0,0,,1,0,1,0,0,0,.30906785,,,,,0,1,0,0,0,0,0,0,1,0,,,,,,1,0,0,0,0,,,,,,,,,,,,,,,,,,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,111101010101,.56946504,0,0,0,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,1,,0,1,1,,0,0,0,1,0,,,,,-.031928781,3,2,1,.52470386,-.35676226,-.41616207,-.58834743,-.31078002,0,0,1,0,1,1,0,0,0,0,0,-.81436324,,,,,0,0,1,0,0,0,0,1,0,0,,,,,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
